"Bug编号","所属产品","所属模块","所属执行","相关需求","相关任务","Bug标题","关键词","严重程度","优先级","Bug类型","操作系统","浏览器","重现步骤","Bug状态","截止日期","激活次数","是否确认","抄送给","由谁创建","创建日期","影响版本","指派给","指派日期","解决者","解决方案","解决版本","解决日期","由谁关闭","关闭日期","重复ID","相关Bug","相关用例","最后修改者","修改日期","附件"
"2250","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID count]: unrecognized selector sent to instance 0xf1bc26b9408212e8","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID count]: unrecognized selector sent to instance 0xf1bc26b9408212e8

#0 CoreFoundation 0000000001958BD27C ()
#1 libobjc.A.dylib 000000000194A979F8 objc_exception_throw()
#2 CoreFoundation 0000000001957D9AB8 -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 0000000001958C2AC4 ()
#4 CoreFoundation 0000000001958C475C -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 CFNetwork 000000000196067BA4 ()
#6 CFNetwork 000000000195F4135C ()
#7 CFNetwork 000000000195F2EF4C ()
#8 CFNetwork 000000000195F2F430 ()
#9 CFNetwork 000000000195EF2130 ()
#10 libdispatch.dylib 0000000001952FCA38 ()
#11 libdispatch.dylib 0000000001952FD7D4 ()
#12 libdispatch.dylib 0000000001952D8DEC ()
#13 libdispatch.dylib 0000000001952D992C ()
#14 libdispatch.dylib 0000000001952E1E08 ()
#15 libsystem_pthread.dylib 0000000001954DD114 _pthread_wqthread()
#16 libsystem_pthread.dylib 0000000001954DFCD4 start_wqthread()



","激活","0000-00-00","0","否","","余朝阳","2022-02-28 14:28:43","主干(#trunk)","李宽","2022-02-28 14:28:43","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2248","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID propertyDescription]: unrecognized selector sent to instance 0x8eb1ea4e5d70a7ae","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID propertyDescription]: unrecognized selector sent to instance 0x8eb1ea4e5d70a7ae

#0 CoreFoundation 000000000180CC50FC ()
#1 libobjc.A.dylib 000000000199511D64 objc_exception_throw()
#2 CoreFoundation 000000000180DA20C4 +[NSObject _copyDescription]
#3 CoreFoundation 000000000180C5A524 ()
#4 CoreFoundation 000000000180C59660 -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 CoreData 0000000001882B88F0 ()
#6 CoreData 0000000001882BCCA0 ()
#7 CoreData 0000000001882B566C ()
#8 CoreData 0000000001882B63D0 -[NSSQLFetchRequestContext executeRequestCore:]
#9 CoreData 00000000018837D1F8 -[NSSQLStoreRequestContext executeRequestUsingConnection:]
#10 CoreData 0000000001882DCEEC ()
#11 CoreData 0000000001882AE674 ()
#12 libdispatch.dylib 000000000180937670 ()
#13 libdispatch.dylib 0000000001809468C4 ()
#14 CoreData 0000000001882AC7B0 ()
#15 CoreData 0000000001882B97A4 -[NSSQLDefaultConnectionManager handleStoreRequest:]
#16 CoreData 0000000001882CC5C0 ()
#17 CoreData 0000000001882C2460 ()
#18 CoreData 0000000001882AF7CC -[NSSQLCore executeRequest:withContext:error:]
#19 CoreData 000000000188455C88 ()
#20 CoreData 0000000001882B70C4 ()
#21 CoreData 0000000001882E8AC0 -[NSPersistentStoreCoordinator executeRequest:withContext:error:]
#22 CoreData 0000000001882AD724 -[NSManagedObjectContext executeFetchRequest:error:]
#23 JHUniversalApp 000000000106CEE068 -[SMDataCollectionApi mainUploadDataWithServiceType:opeType:otherDict:]
#24 libdispatch.dylib 000000000180935924 ()
#25 libdispatch.dylib 000000000180937670 ()
#26 libdispatch.dylib 000000000180945B70 _dispatch_main_queue_callback_4CF()
#27 CoreFoundation 000000000180C7DD84 ()
#28 CoreFoundation 000000000180C37F5C ()
#29 CoreFoundation 000000000180C4B468 CFRunLoopRunSpecific()
#30 GraphicsServices 00000000019C7EB38C GSEventRunModal()
#31 UIKitCore 0000000001835EE5D0 -[UIApplication _run]
#32 UIKitCore 00



","激活","0000-00-00","0","否","","余朝阳","2022-02-28 14:28:07","主干(#trunk)","李宽","2022-02-28 14:28:07","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2246","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","*** -[AVAssetWriterInput appendSampleBuffer:] Cannot append sample buffer: Must start a session (using -[AVAssetWriter startSessionAtSourceTime:) first","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInternalInconsistencyException
reason:*** -[AVAssetWriterInput appendSampleBuffer:] Cannot append sample buffer: Must start a session (using -[AVAssetWriter startSessionAtSourceTime:) first

#0 CoreFoundation 0000000001A5BE8654 ()
#1 libobjc.A.dylib 0000000001A590ABCC objc_exception_throw()
#2 AVFoundation 0000000001AFE3B150 ()
#3 JHUniversalApp 0000000001021BBB54 -[SCMovieManager recordSampleBuffer:]
#4 JHUniversalApp 0000000001021BDFF4 -[SCCameraController captureOutput:didOutputSampleBuffer:fromConnection:]
#5 AVFoundation 0000000001AFEABEE4 -[AVCaptureVideoDataOutput _processSampleBuffer:]
#6 AVFoundation 0000000001AFEABC44 ()
#7 CoreMedia 0000000001AC481DBC ()
#8 CoreMedia 0000000001AC4A2570 ()
#9 libdispatch.dylib 0000000001A58AE524 ()
#10 libdispatch.dylib 0000000001A5856E98 ()
#11 libdispatch.dylib 0000000001A5867430 ()
#12 libdispatch.dylib 0000000001A585A770 ()
#13 libdispatch.dylib 0000000001A585B294 ()
#14 libdispatch.dylib 0000000001A586478C ()
#15 libsystem_pthread.dylib 0000000001A58FFB74 _pthread_wqthread()
#16 libsystem_pthread.dylib 0000000001A5902740 start_wqthread()

","激活","0000-00-00","0","否","","余朝阳","2022-02-28 14:26:25","主干(#trunk)","李聪","2022-02-28 15:03:28","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","李宽","2022-02-28 15:03:28","",""
"2245","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[GlobleManager gameCallback:]: unrecognized selector sent to instance 0x2839e4b60","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[GlobleManager gameCallback:]: unrecognized selector sent to instance 0x2839e4b60

#0 CoreFoundation 000000000180EFD0FC ()
#1 libobjc.A.dylib 000000000199749D64 objc_exception_throw()
#2 CoreFoundation 000000000180FDA0C4 +[NSObject _copyDescription]
#3 CoreFoundation 000000000180E92524 ()
#4 CoreFoundation 000000000180E91660 -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 libdispatch.dylib 000000000180B6D924 ()
#6 libdispatch.dylib 000000000180B6F670 ()
#7 libdispatch.dylib 000000000180B7DB70 _dispatch_main_queue_callback_4CF()
#8 CoreFoundation 000000000180EB5D84 ()
#9 CoreFoundation 000000000180E6FF5C ()
#10 CoreFoundation 000000000180E83468 CFRunLoopRunSpecific()
#11 GraphicsServices 00000000019CA2338C GSEventRunModal()
#12 UIKitCore 0000000001838265D0 -[UIApplication _run]
#13 UIKitCore 0000000001835A4F74 UIApplicationMain()
#14 JHUniversalApp 0000000001062EBDE8 -[VAUIFooterView .cxx_destruct]
#15 dyld 0000000001098A1AA4 start()
login:w>16:05:53.374 +[FileUtil getUserInfoDic] 本地用户信息不存在！
login:w>16:05:53.375 +[FileUtil getUserInfoDic] 本地用户信息不存在！



","激活","0000-00-00","0","否","","余朝阳","2022-02-28 14:25:49","主干(#trunk)","李宽","2022-02-28 14:25:49","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2237","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","*** +[NSJSONSerialization dataWithJSONObject:options:error:]: Invalid top-level type in JSON write","","1-Low","3","代码错误","","","当前展示的视图控制器:JHCSRotationImageViewController

最后实例化的视图控制器:JHCSRotationImageViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:*** +[NSJSONSerialization dataWithJSONObject:options:error:]: Invalid top-level type in JSON write

#0 CoreFoundation 0000000001814F805C ()
#1 libobjc.A.dylib 000000000199A12F54 objc_exception_throw()
#2 Foundation 000000000182CFDEAC ()
#3 JHUniversalApp 0000000001016F38F4 -[JHLivePlayLibrary.LiveEvaluationVC initWithCoder:]
#4 JHUniversalApp 0000000001016F34C8 -[JHLivePlayLibrary.LiveEvaluationVC initWithCoder:]
#5 JHUniversalApp 0000000001039BE4D0 -[JHBase.JHBaseInfo .cxx_destruct]
#6 JHUniversalApp 0000000001039C30F4 -[JHBase.JHBaseInfo .cxx_destruct]
#7 JHUniversalApp 0000000001038A5B08 -[Kingfisher.AnimatedImageView initWithCoder:]
#8 JHUniversalApp 000000000103839864 -[Kingfisher.AnimatedImageView initWithCoder:]
#9 libdispatch.dylib 000000000181168C04 ()
#10 libdispatch.dylib 00000000018116A950 ()
#11 libdispatch.dylib 000000000181178D30 _dispatch_main_queue_callback_4CF()
#12 CoreFoundation 0000000001814B0CE4 ()
#13 CoreFoundation 00000000018146AEBC ()
#14 CoreFoundation 00000000018147E3C8 CFRunLoopRunSpecific()
#15 GraphicsServices 00000000019CC8F38C GSEventRunModal()
#16 UIKitCore 000000000183E240BC -[UIApplication _run]
#17 UIKitCore 000000000183BA1BE8 UIApplicationMain()
#18 JHUniversalApp 0000000001033B00D8 -[VAUIFooterView .cxx_destruct]
#19 dyld 000000000106891A24 start()","激活","0000-00-00","0","否","","余朝阳","2022-02-28 14:17:52","主干(#trunk)","李宽","2022-02-28 14:17:52","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2234","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[GEOLocalizedAttribution propertyDescription]: unrecognized selector sent to instance 0x281e981e0","","1-Low","3","代码错误","","","当前展示的视图控制器:JHCSRotationImageViewController

最后实例化的视图控制器:JHCSRotationImageViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[GEOLocalizedAttribution propertyDescription]: unrecognized selector sent to instance 0x281e981e0

#0 CoreFoundation 000000000180E510FC ()
#1 libobjc.A.dylib 00000000019968CD64 objc_exception_throw()
#2 CoreFoundation 000000000180F2E0C4 +[NSObject _copyDescription]
#3 CoreFoundation 000000000180DE6524 ()
#4 CoreFoundation 000000000180DE5660 _CF_forwarding_prep_0()
#5 CoreData 00000000018843E8F0 ()
#6 CoreData 000000000188442CA0 ()
#7 CoreData 00000000018843B66C ()
#8 CoreData 00000000018843C3D0 -[NSSQLFetchRequestContext executeRequestCore:]
#9 CoreData 0000000001885031F8 -[NSSQLStoreRequestContext executeRequestUsingConnection:]
#10 CoreData 000000000188462EEC ()
#11 CoreData 000000000188434674 ()
#12 libdispatch.dylib 000000000180AC3670 ()
#13 libdispatch.dylib 000000000180AD28C4 ()
#14 CoreData 0000000001884327B0 ()
#15 CoreData 00000000018843F7A4 -[NSSQLDefaultConnectionManager handleStoreRequest:]
#16 CoreData 0000000001884525C0 ()
#17 CoreData 000000000188448460 ()
#18 CoreData 0000000001884357CC -[NSSQLCore executeRequest:withContext:error:]
#19 CoreData 0000000001885DBC88 ()
#20 CoreData 00000000018843D0C4 ()
#21 CoreData 00000000018846EAC0 -[NSPersistentStoreCoordinator executeRequest:withContext:error:]
#22 CoreData 000000000188433724 -[NSManagedObjectContext executeFetchRequest:error:]
#23 JHUniversalApp 0000000001044B566C -[SMDataCollectionApi mainUploadDataWithServiceType:opeType:otherDict:]
#24 libdispatch.dylib 000000000180AC1924 ()
#25 libdispatch.dylib 000000000180AC3670 ()
#26 libdispatch.dylib 000000000180AD1B70 _dispatch_main_queue_callback_4CF()
#27 CoreFoundation 000000000180E09D84 ()
#28 CoreFoundation 000000000180DC3F5C ()
#29 CoreFoundation 000000000180DD7468 CFRunLoopRunSpecific()
#30 GraphicsServices 00000000019C96338C GSEventRunModal()
#31 UIKitCore 000000000183779088 -[UIApplication _run]
#32 UIKitCore 0000000001834F7958 UIAp



","激活","0000-00-00","0","否","","余朝阳","2022-02-28 14:17:09","主干(#trunk)","李宽","2022-02-28 14:17:09","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2233","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[CDEnLocation count]: unrecognized selector sent to instance 0x281d69d60","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[CDEnLocation count]: unrecognized selector sent to instance 0x281d69d60

#0 CoreFoundation 0000000001A37D586C ()
#1 libobjc.A.dylib 0000000001B8744C50 objc_exception_throw()
#2 CoreFoundation 0000000001A36DC95C -[NSOrderedSet initWithSet:copyItems:]
#3 CoreFoundation 0000000001A37D8438 ()
#4 CoreFoundation 0000000001A37DA740 -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 CFNetwork 0000000001A3DE58CC -[__NSCFURLLocalSessionConnection resume]
#6 CFNetwork 0000000001A3FA5A50 -[__NSCFURLSessionTaskActiveStreamDependencyInfo init]
#7 CFNetwork 0000000001A3F51580 -[__CFN_TaskMetrics _daemon_transactionMetrics]
#8 CFNetwork 0000000001A3DF7470 _CFHostIsDomainTopLevelForCertificatePolicy()
#9 libapple_nghttp2.dylib 0000000001EDF08E64 ()
#10 libapple_nghttp2.dylib 0000000001EDF0ECCC nghttp2_session_mem_recv()
#11 CFNetwork 0000000001A3E58938 _CFURLCachePersistMemoryToDiskNow()
#12 libdispatch.dylib 0000000001A33F89F8 ()
#13 CFNetwork 0000000001A3E58804 _CFURLCachePersistMemoryToDiskNow()
#14 CFNetwork 0000000001A3E853FC -[__NSCFURLLocalSessionConnection cancel]
#15 libdispatch.dylib 0000000001A33D7FB8 ()
#16 libdispatch.dylib 0000000001A33C9DB0 ()
#17 libdispatch.dylib 0000000001A33D110C ()
#18 libdispatch.dylib 0000000001A33D1C90 ()
#19 libdispatch.dylib 0000000001A33D2E60 ()
#20 libdispatch.dylib 0000000001A33DBD78 ()
#21 libsystem_pthread.dylib 0000000001EEFA7804 _pthread_wqthread()
#22 libsystem_pthread.dylib 0000000001EEFAE75C start_wqthread()
login:=>08:32:20.279 -[LoginAndRegister startConComponent:] 启动通讯组件启动结果JHMessageCenterStartResult LoginViewController == 0
login:=>08:32:20.279 -[LoginAndRegister startConComponent:] 全局变量的值为 socketUID ＝ 553d1b08-3dce-415b-b33d-391dfa486262



","激活","0000-00-00","0","否","","余朝阳","2022-02-28 14:16:28","主干(#trunk)","李宽","2022-02-28 14:16:28","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2231","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","Invalid parameter not satisfying: pos","","1-Low","3","代码错误","","","当前展示的视图控制器:JHTabBarController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInternalInconsistencyException
reason:Invalid parameter not satisfying: pos

#0 CoreFoundation 0000000001811250FC ()
#1 libobjc.A.dylib 000000000199975D64 objc_exception_throw()
#2 Foundation 0000000001829E139C ()
#3 UIKitCore 0000000001846D0538 -[_UITextKitTextPosition compare:]
#4 UIKitCore 000000000183556A44 -[UITextInputController comparePosition:toPosition:]
#5 UIKitCore 0000000001846DBE10 -[UITextView comparePosition:toPosition:]
#6 UIKitCore 0000000001846A4140 -[UITextPasteController _clampRange:]
#7 UIKitCore 0000000001846A4934 ()
#8 UIKitCore 0000000001846A4B4C ()
#9 UIKitCore 0000000001846CC684 -[UITextInputController _pasteAttributedString:toRange:completion:]
#10 UIKitCore 0000000001846A487C -[UITextPasteController _performPasteOfAttributedString:toRange:forSession:completion:]
#11 UIKitCore 0000000001846A3B18 ()
#12 libdispatch.dylib 000000000180D95924 ()
#13 libdispatch.dylib 000000000180D97670 ()
#14 libdispatch.dylib 000000000180DA5B70 _dispatch_main_queue_callback_4CF()
#15 CoreFoundation 0000000001810DDD84 ()
#16 CoreFoundation 000000000181097F5C ()
#17 CoreFoundation 0000000001810AB468 CFRunLoopRunSpecific()
#18 GraphicsServices 00000000019CC4F38C GSEventRunModal()
#19 UIKitCore 000000000183A4E5D0 -[UIApplication _run]
#20 UIKitCore 0000000001837CCF74 UIApplicationMain()
#21 JHUniversalApp 000000000103D2FDE8 -[VAUIFooterView .cxx_destruct]
#22 dyld 0000000001072C9AA4 start()



","激活","0000-00-00","0","否","","余朝阳","2022-02-28 14:15:12","主干(#trunk)","郭旭","2022-02-28 15:05:03","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","李宽","2022-02-28 15:05:03","",""
"2230","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID count]: unrecognized selector sent to instance 0xadf33752be5ea44c","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID count]: unrecognized selector sent to instance 0xadf33752be5ea44c

#0 CoreFoundation 000000000181C1D04C ()
#1 libobjc.A.dylib 00000000019A291F54 objc_exception_throw()
#2 CoreFoundation 000000000181CFA014 +[NSObject _copyDescription]
#3 CoreFoundation 000000000181BB2474 ()
#4 CoreFoundation 000000000181BB15B0 -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 CFNetwork 0000000001825A4FA8 -[__NSCFURLSessionTaskActiveStreamDependencyInfo init]
#6 CFNetwork 0000000001825A50C8 -[__NSCFURLSessionTaskActiveStreamDependencyInfo init]
#7 CFNetwork 00000000018255FFB4 -[__CFN_TaskMetrics _daemon_transactionMetrics]
#8 CFNetwork 00000000018242A628 _CFHostIsDomainTopLevelForCertificatePolicy()
#9 libapple_nghttp2.dylib 0000000001F14A3448 ()
#10 libapple_nghttp2.dylib 0000000001F149E4A0 nghttp2_session_mem_recv()
#11 CFNetwork 000000000182485254 _CFURLCachePersistMemoryToDiskNow()
#12 libdispatch.dylib 0000000001818C0AEC ()
#13 CFNetwork 00000000018248511C _CFURLCachePersistMemoryToDiskNow()
#14 CFNetwork 0000000001824AF518 -[__NSCFURLLocalSessionConnection resume]
#15 libdispatch.dylib 00000000018189E444 ()
#16 libdispatch.dylib 00000000018188F660 ()
#17 libdispatch.dylib 000000000181896DE4 ()
#18 libdispatch.dylib 00000000018189798C ()
#19 libdispatch.dylib 000000000181898C74 ()
#20 libdispatch.dylib 0000000001818A21A8 ()
#21 libsystem_pthread.dylib 0000000001F27A60F4 _pthread_wqthread()
#22 libsystem_pthread.dylib 0000000001F27A5E94 start_wqthread()



","激活","0000-00-00","0","否","","余朝阳","2022-02-28 14:14:26","主干(#trunk)","李宽","2022-02-28 14:14:26","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
"2229","iOS  临时项目(#95)","/(#0)","【研发】【稳定性bug库】(#583)","","","-[_NSCoreDataTaggedObjectID containsKey:]: unrecognized selector sent to instance","","1-Low","3","代码错误","","","当前展示的视图控制器:ShowStoreNewMapViewController

最后实例化的视图控制器:JHUIWebViewController

2.6.0.012920 name:NSInvalidArgumentException
reason:-[_NSCoreDataTaggedObjectID containsKey:]: unrecognized selector sent to instance 0xbcb013da683e1e91

#0 CoreFoundation 000000000180DF10FC ()
#1 libobjc.A.dylib 000000000199641D64 objc_exception_throw()
#2 CoreFoundation 000000000180ECE0C4 +[NSObject _copyDescription]
#3 CoreFoundation 000000000180D86524 ()
#4 CoreFoundation 000000000180D85660 -[NSKVONotifying_MKUserLocation setCoordinate:]
#5 CoreFoundation 000000000180DAB984 CFDictionaryContainsKey()
#6 CFNetwork 0000000001815B1C4C -[__NSCFURLSessionTaskInfo pathToDownloadTaskFile]
#7 CFNetwork 0000000001815A61BC -[NSURLSessionTask _preventsAppSSO]
#8 CFNetwork 0000000001815B7880 -[NSURLCache dealloc]
#9 CFNetwork 0000000001815C49C4 -[NSURLSessionConfiguration _allowsMultipathTCP]
#10 CFNetwork 00000000018159F8C8 +[_NSCFURLProtocol canonicalRequestForRequest:task:]
#11 CFNetwork 00000000018167E1A4 +[_NSCFURLProtocol canonicalRequestForRequest:]
#12 CFNetwork 0000000001815F5130 -[__NSURLSessionLocal copyWithZone:]
#13 CFNetwork 0000000001815F52BC -[__NSURLSessionLocal copyWithZone:]
#14 CFNetwork 000000000181653294 CFURLCacheCreate()
#15 CFNetwork 0000000001815A20A4 -[NSURLSessionConfiguration _supportsAVAssetDownloads]
#16 CFNetwork 0000000001815DF48C +[AVAssetDownloadURLSession sessionWithConfiguration:assetDownloadDelegate:delegateQueue:]
#17 CFNetwork 0000000001815A8094 -[NSURLSessionTaskTransactionMetrics .cxx_destruct]
#18 CFNetwork 0000000001815DCE18 -[NSURLSessionTask _withXURLCache:]
#19 CFNetwork 00000000018159D8BC -[NSURLRequest HTTPShouldHandleCookies]
#20 CFNetwork 0000000001815BFC8C -[NSURLSessionConfiguration shouldUseExtendedBackgroundIdleMode]
#21 CFNetwork 00000000018157CAE4 +[NSHTTPCookie _cf2nsCookies:]
#22 CFNetwork 000000000181591B8C -[NSURLSessionTask setTaskDescription:]
#23 libdispatch.dylib 000000000180A72454 ()
#24 libdispatch.dylib 000000000180A63670 ()
#25 libdispatch.dylib 000000000180A6ADF4 ()
#26 libdispatch.dylib 000000000180A6B99C ()
#27 libdispatch.dylib 000000000180A761B8 ()
#28 libsystem_pthread.dylib 0000000001F216B0F4 _pthread_wqthread()
#29 libsystem_pthread.dylib 0000000001F216AE94



  
","激活","0000-00-00","0","否","","霍曙光","2022-02-28 14:14:15","主干(#trunk)","李宽","2022-02-28 14:14:15","","","","0000-00-00 00:00:00","","0000-00-00 00:00:00","0","","","","0000-00-00 00:00:00","",""
